name,selling_price,original_price,warranty,width,depth,height,color,material
Owain Study Table with Storage Shelves,S$309.00,S$469.00,Warranty:10-Year,100,60,140,Shelf Storage,"MDF Wood, Metal"
Lonette 1.4M Study Table Set,S$619.00,"S$1,114.00",Warranty:3-Year,140,65,75,Solid Wood,Cadence
Giolio Programmable Electric Adjustable Table (White/ Wooden Top),S$346.90,S$623.90,Warranty:5-Year,120.20,60.20,72 - 121,White,"Particle Board, Steel"
Mikala Study Desk,S$219.90,S$395.90,Warranty:3-Year,120.40,53.70,76.50,"Laminate, MDF Wood, Particle Board",Qoltured
Otieno Study Desk (Walnut),S$199.00,S$299.00,Warranty:3-Year,120,60,74,"Cabinet Storage, Locking Drawer/Cabinet",Walnut
Devyn 1.2M Study Desk (Blue),S$219.00,S$394.00,Warranty:3-Year,120,50,75,Blue,MDF Wood
Parson Study Desk (White/Oak),S$192.90,S$346.90,Warranty:1-Year,123.50,53.50,80.50,White/Oak,"MDF Wood, Veneer"
Frea Study Desk IV,S$369.00,S$559.00,Warranty:3-Year,133.50,40,78.50,Drawer(s) Storage,"Laminate, MDF Wood, Melamine"
Darryn 1.2M Study Desk (Black),S$149.00,S$268.00,Warranty:3-Year,120,60,89,Black,Particle Board
Otieno Study Desk (Oak),S$199.00,S$299.00,Warranty:3-Year,120,60,74,Oak,"Laminate, MDF Wood"
Odus Study Desk (White),S$89.00,S$160.00,Warranty:1-Year,80/120,60,75,White,"Melamine, Steel"
Daviel 1.2M Study Desk with Eadwyn Chair Set (Walnut/Grey),S$329.00,S$599.00,Warranty:3-Year,Walnut,"Drawer(s) Storage, Cable Management",None,Qoltured,3-Year
Imelda IV Adjustable Children's Study Desk and Chair (Blue),None,None,Warranty:2-Year,Blue,"Shelf Storage, Drawer(s) Storage, Height Adjustable, Ergonomic, Tiltable Tabletop",None,2-Year,Free Assembly Included
Golda 1.2M Study Desk,S$499.00,S$899.00,Warranty:3-Year,120,57,190,Grey,Melamine
Halsig Extendable Study Desk With Chair Set (White),S$529.00,S$952.00,Warranty:3-Year,White,"Extendable Tabletop, Cabinet Storage, Drawer(s) Storage",None,3-Year,Free Assembly Included
Ruprecht Study Desk,S$69.90,S$122.90,Warranty:1-Year,120,60,75,MDF Wood,14.00
Dodek Study Table with Top Cabinet,None,None,Warranty:3-Year,120,52.50,169,Chipboard,Turkey
Darina Study Table (1m),S$369.00,S$559.00,Warranty:3-Year,100,50,75,"Sintered Stone, Metal",3-Year
Aurlon Dual Study Desk with Aphria Chair Set (Grey/Blue),S$679.00,"S$1,222.00",Warranty:3-Year,Blue,Drawer(s) Storage,None,3-Year,Free Assembly Included
Altonen Study Table (Grey/Black),S$459.00,S$826.00,Warranty:3-Year,119,60,76,Drawer(s) Storage,"Melamine, Sintered Stone"
Auliffe 1.2M Study Desk With Shelf Set (Grey/Dark Wood),S$309.00,S$559.00,Warranty:3-Year,120,56,75,"Shelf Storage, Drawer(s) Storage, With Top Shelf",Melamine
Elouise Study Desk,S$329.00,S$499.00,Warranty:3-Year,120,55,174,"Cabinet Storage, Shelf Storage, Drawer(s) Storage, With Top Shelf",MDF Wood
Mission Desk (2-Drawer),S$350.00,S$530.00,Warranty:10-Year,78,100,50,Teak Wood,Drawer(s) Storage
Morgane Study Desk,S$139.00,S$209.00,Warranty:1-Year,65,50,76,Keyboard Tray,Particle Board
Fuasto Straight table L120 (Ash + Dark Grey),S$342.90,S$616.90,Warranty:1-Year,120,60,"Work Desk, Office Table","MDF Wood, Melamine, Metal",Cable Management
Rostem II Study Desk With Pedestal,S$439.00,S$659.00,Warranty:3-Year,120,60,75.50,Locking Drawer/Cabinet,3-Year
Hail Advance Kit Set + Drachman Monitor Arm (Single/Dual),None,None,Warranty:5-Year,"Height Adjustable, Ergonomic",None,None,5-Year,None
Harford Study Desk,S$159.00,S$279.00,Warranty:3-Year,100,50,75,Oak/Grey,Particle Board
Castanho Desk Brown,S$99.00,S$134.90,Warranty:1-Year,113,61.50,84,Drawer(s) Storage,Brown
Freyne 1.4M Extendable Study Desk with Devnet Chair Set (Grey/Taupe),S$509.00,S$916.00,Warranty:3-Year,"Extendable Tabletop, Drawer(s) Storage",None,None,3-Year,Free Assembly Included
Davian II 1.2M Study Desk (Natural/White),S$229.00,S$419.00,Warranty:3-Year,120,50,150,Natural,Particle Board
Travis Study Desk,S$239.00,S$379.00,Warranty:1-Year,120,60,135,"Shelf Storage, Drawer(s) Storage, Locking Drawer/Cabinet, With Top Shelf",MDF Wood
Masozi Study Table,S$289.00,S$439.00,Warranty:3-Year,120,60,76,"Cabinet Storage, Drawer(s) Storage, Cable Management, Keyboard Tray","MDF Wood, Metal"
Neka II Writing Table,S$379.00,S$569.00,Warranty:3-Year,55,90,170,"Cabinet Storage, Shelf Storage, Locking Drawer/Cabinet",MDF Wood
Kissa Children's Study Table,S$579.00,S$799.00,Warranty:3-Year,"Cabinet Storage, Shelf Storage, Drawer(s) Storage",Pink,202,120,"Melamine, Rubber wood"
Juniper Study Desk,S$209.00,S$319.00,Warranty:3-Year,90,61,77,"Drawer(s) Storage, Locking Drawer/Cabinet, Keyboard Tray","Laminate, MDF Wood"
Rudelle Study Desk (Antique),S$59.90,S$99.90,Warranty:1-Year,"80,100,120","40,50,60",75,MDF Wood,Homeble
Kouki Desk,S$519.00,S$779.00,Warranty:3-Year,110,54,181.50,"Cabinet Storage, Shelf Storage, Drawer(s) Storage, With Top Shelf",3-Year
Arden Study Desk,S$359.00,"S$1,009.90",Warranty:3-Year,158.40,47.30,121.10,Walnut,"Particle Board, Steel"
Frea Study Desk II,S$229.00,S$349.00,Warranty:3-Year,119.50,40,78.50,Drawer(s) Storage,"Laminate, MDF Wood, Melamine"
Azunto 1.4M Study Desk,S$629.00,"S$1,139.00",Warranty:10-Year,140,66,77,Solid Wood,Cove
Fuasto Straight table L150 (White),S$405.90,S$730.90,Warranty:1-Year,150,75,White,"MDF Wood, Melamine, Metal",Cable Management
Frazier Study Desk with Storage on the Right (Natural),S$439.00,S$799.00,Warranty:3-Year,117 - 144,56,76,Natural,"Melamine, Oak Wood"
Abdiel 1.2M Study Desk (Natural/White),S$209.00,S$376.00,Warranty:3-Year,120,58,75,Melamine,Cadence
Martinez Study Desk,S$339.00,S$509.00,Warranty:3-Year,120.30,60.20,91.50,Drawer(s) Storage,3-Year
Lyubov 1.2M Study Table with Chair Set,S$649.00,"S$1,169.00",Warranty:3-Year,Natural,Drawer(s) Storage,None,Cadence,3-Year
